seed,n_clusters,points_per_cluster,dim,cluster_std,ari,nmi,sse,steps,converged,min_inter_token_dist,collapsed,n_tokens,n_steps,temperature,lr,momentum,repulsion,method
9,4,80,6,0.3,1.0,1.0,178.5697908997734,2,True,8.750944067604665,0.0,4,30,1.0,1.0,0.0,0.0,baseline
10,4,80,6,0.3,0.6273992541638475,0.8002166662574268,3508.526130960773,5,True,0.0002627130407530891,0.0,4,30,1.0,1.0,0.0,0.0,baseline
11,4,80,6,0.3,0.6269560029361883,0.8000240481455232,845.5000575840098,5,True,0.0002887785676489443,0.0,4,30,1.0,1.0,0.0,0.0,baseline
12,4,80,6,0.3,0.6269005847953216,0.7999999999999997,1567.7906430755056,5,True,0.00018695074052211814,0.0,4,30,1.0,1.0,0.0,0.0,baseline
13,4,80,6,0.3,0.23085699676479268,0.5074959200341294,7944.0905200699635,5,True,0.00012983556964254848,0.0,4,30,1.0,1.0,0.0,0.0,baseline
14,4,80,6,0.3,1.0,1.0,175.80727585544247,4,True,3.763480793631856,0.0,4,30,1.0,1.0,0.0,0.0,baseline
15,4,80,6,0.3,0.6273992541638475,0.800216666257427,3977.669641159332,6,True,0.0005975788210656651,0.0,4,30,1.0,1.0,0.0,0.0,baseline
16,4,80,6,0.3,0.6269560029361883,0.8000240481455232,2063.6674650328487,6,True,0.0002443141089558194,0.0,4,30,1.0,1.0,0.0,0.0,baseline
17,4,80,6,0.3,0.6269560029361883,0.8000240481455232,2256.8489211875158,7,True,0.0005024986096537882,0.0,4,30,1.0,1.0,0.0,0.0,baseline
18,4,80,6,0.3,0.6273992541638475,0.800216666257427,2817.06065843589,6,True,0.00015856927659665975,0.0,4,30,1.0,1.0,0.0,0.0,baseline
19,4,80,6,0.3,1.0,1.0,177.4940877234489,4,True,9.300447513423853,0.0,4,30,1.0,1.0,0.0,0.0,baseline
20,4,80,6,0.3,0.6269005847953216,0.7999999999999997,2952.6859998240693,6,True,0.0003179323374117734,0.0,4,30,1.0,1.0,0.0,0.0,baseline
21,4,80,6,0.3,1.0,1.0,169.73879549880073,3,True,5.945337760068138,0.0,4,30,1.0,1.0,0.0,0.0,baseline
22,4,80,6,0.3,1.0,1.0,173.19445528508624,3,True,4.052044834278938,0.0,4,30,1.0,1.0,0.0,0.0,baseline
23,4,80,6,0.3,0.6269560029361883,0.8000240481455232,2365.0295740719644,5,True,0.0004651478597910495,0.0,4,30,1.0,1.0,0.0,0.0,baseline
